league,team,season,games,wins,draws,losses,goals_total,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,avg_res_for_game,year_of_foundation,sellouts,total_attendance,avg_attendance
La Liga,Club Atlético de Madrid,2022-2023,38,23,8,7,70.0,40.0,25.8,22.0,13360000.0,534300000.0,2.026315789473684,120.0,,,
La Liga,Club Atlético de Madrid,2022-2023,38,23,8,7,70.0,31.0,27.1,1.0,7180000.0,222450000.0,2.026315789473684,120.0,,,
La Liga,Club Atlético de Madrid,2023-2024,38,24,4,10,70.0,42.0,26.9,23.0,10920000.0,458450000.0,2.0,120.0,1.0,1134886,59731
La Liga,Club Atlético de Madrid,2023-2024,38,24,4,10,70.0,31.0,27.0,2.0,9540000.0,295650000.0,2.0,120.0,1.0,1134886,59731
La Liga,Club Atlético de Madrid,2024-2025,38,22,10,6,68.0,41.0,26.5,22.0,13230000.0,542500000.0,2.0,120.0,,,
La Liga,Club Atlético de Madrid,2024-2025,38,22,10,6,68.0,37.0,26.1,4.0,10140000.0,375350000.0,2.0,120.0,,,
La Liga,Cádiz CF,2021-2022,38,8,15,15,35.0,37.0,27.7,14.0,1830000.0,67800000.0,1.0263157894736843,113.0,,,
La Liga,Cádiz CF,2022-2023,38,10,12,16,30.0,47.0,27.3,17.0,1400000.0,65600000.0,1.105263157894737,113.0,,,
La Liga,Cádiz CF,2023-2024,38,6,15,17,26.0,44.0,27.0,15.0,1380000.0,60700000.0,0.868421052631579,113.0,,,
La Liga,Deportivo Alavés,2021-2022,38,8,7,23,31.0,43.0,25.6,16.0,1520000.0,65350000.0,0.8157894736842105,102.0,0.0,208086,10952
La Liga,Deportivo Alavés,2023-2024,38,12,10,16,36.0,41.0,24.5,16.0,3020000.0,123700000.0,1.2105263157894737,102.0,0.0,330434,17391
La Liga,Deportivo Alavés,2024-2025,38,10,12,16,38.0,37.0,25.8,15.0,2500000.0,92350000.0,1.105263157894737,102.0,,,
La Liga,Elche CF,2021-2022,38,11,9,18,40.0,37.0,27.9,14.0,1970000.0,72980000.0,1.105263157894737,100.0,0.0,292859,15414
La Liga,Elche CF,2022-2023,38,5,10,23,30.0,40.0,27.0,17.0,1690000.0,67500000.0,0.6578947368421053,100.0,,,
La Liga,FC Barcelona,2021-2022,38,21,10,7,68.0,47.0,25.5,24.0,15650000.0,735600000.0,1.9210526315789471,124.0,0.0,1025652,53982
La Liga,FC Barcelona,2022-2023,38,28,4,6,70.0,41.0,24.4,14.0,20410000.0,836800000.0,2.3157894736842106,124.0,,,
La Liga,FC Barcelona,2023-2024,38,26,7,5,79.0,38.0,24.0,15.0,24110000.0,916200000.0,2.236842105263158,124.0,0.0,757025,39843
La Liga,FC Barcelona,2024-2025,38,28,4,6,102.0,39.0,23.3,11.0,27760000.0,1080000000.0,2.3157894736842106,124.0,,,
La Liga,Getafe CF,2021-2022,38,8,15,15,33.0,43.0,25.7,17.0,4850000.0,208680000.0,1.0263157894736843,40.0,0.0,165338,8702
La Liga,Getafe CF,2022-2023,38,10,12,16,34.0,34.0,26.5,14.0,3500000.0,118900000.0,1.105263157894737,40.0,,,
La Liga,Getafe CF,2023-2024,38,10,13,15,42.0,40.0,25.7,18.0,3330000.0,133000000.0,1.131578947368421,40.0,0.0,217671,11456
La Liga,Getafe CF,2024-2025,38,11,9,18,34.0,37.0,25.4,15.0,2370000.0,87700000.0,1.105263157894737,40.0,,,
